"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Đăng nhập hệ thống","1","0","Kiểm tra mở trang đăng nhập","0"
"0","","0","Đăng nhập hệ thống","1","0","UC-002: Đăng nhập bằng tài khoản bị khóa","0"
"0","","0","Đăng nhập hệ thống","1","0","UC-001: Đăng nhập bằng tài khoản hợp lệ","0"
